MB-CAD 26.1.2 Cennik 26.1.2 PLN;PORÓWNANIE ZAMÓWIENIA I RZECZYWISTYCH POTRZEB;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;

;Profile;;;;Zamawiane:;;;;;Potrzebne:;;;
;Kod elementu;Opis;;Jednostka miary;;;;;;Iloœæ;;;Odpad
K8H00496X;ASSA ABLOY - Podk³adkadystansowa;;szt.;5;;28,40;5; 28,40;; 0,00

4 (5);;;14.04.2026;
;;;;;;;;;;;

K8H00961X;WILKA - Zamek antypaniczny4677 U24x6xD35 - funkcja B,prawy;;;szt.;1;;686,10;1; 686,10;; 0,00
K8H01547X;ASSA ABLOY - Zameksamorygluj¹cy elektryczny EL460F24x3xD35 - funkcja C,lewy/prawy;;;szt.;8;;13221,36;8;13 221,36;; 0,00
K8H01555X;ASSA ABLOY - Podk³adka24x3x300 mm;;;szt.;3;;108,51;3; 108,51;; 0,00
K8H01557X;ASSA ABLOY - Przewódzasilaj¹cy (10 m);;;szt.;8;;1532,32;8;1 532,32;; 0,00
K8H01559X;ASSA ABLOY - Blachazaczepowa regulowana F24x3mm;;;szt.;8;;986,32;8; 986,32;; 0,00
K8H01560X;ASSA ABLOY - Podk³adka24x3x232 mm;;;szt.;3;;81,39;3; 81,39;; 0,00
Ko³ek rozporowy;W edytorze systemu mo¿nazmieniæ kod ko³ka i ten opis(System profili|akcesoria);;;szt.;1326;;0,00;1326; 0,00;; 0,00
W80111320;Uszczelnienie szczotkowe;;;szt.;94;;847,88;94; 847,88;; 0,00
W80111330;Uszczelnienie szczotkowe;;;szt.;12;;68,64;12; 68,64;; 0,00
W80122109;£¹cznik 42 mm;;;szt.;16;;75,20;16; 75,20;; 0,00
W80122198;£¹cznik 31 mm;;;szt.;14;;45,22;14; 45,22;; 0,00
W80122199;£¹cznik 31 mm;;;szt.;14;;38,36;14; 38,36;; 0,00
W80122214;£¹cznik z wkrêtem (80122109 +80372710);;;szt.;32;;168,64;32; 168,64;; 0,00
W80122215;£¹cznik z wkrêtem (80122111 +80372710);;;szt.;16;;97,12;16; 97,12;; 0,00
W80124123;£¹cznik 31 mm;;;szt.;270;;1266,30;270;1 266,30;; 0,00
W80124125;£¹cznik 95 mm;;;szt.;16;;173,76;16; 173,76;; 0,00
W80124260;Naro¿nik 41,9x33 mm;;;szt.;672;;4576,32;672;4 576,32;; 0,00
W80124263;Naro¿nik 47,4x33,2 mm;;;szt.;54;;387,72;54; 387,72;; 0,00
W80124267;Naro¿nik 44,9x22,8 mm;;;szt.;2;;28,04;2; 28,04;; 0,00
W80124270;Naro¿nik 41,9x10 mm;;;szt.;120;;358,80;120; 358,80;; 0,00
W80124292;Naro¿nik 30,9x5,7 mm;;;szt.;10;;34,80;10; 34,80;; 0,00
W80124294;Naro¿nik 41,9x22,8 mm;;;szt.;26;;204,10;26; 204,10;; 0,00
W80124315;Naro¿nik 37,4x5,7 mm;;;szt.;28;;101,08;28; 101,08;; 0,00
W80124316;Naro¿nik 37,4x22,8 mm;;;szt.;10;;72,50;10; 72,50;; 0,00
W80124342;Naro¿nik 47,4x41 mm;;;szt.;5;;117,80;5; 117,80;; 0,00
W80124343;Naro¿nik 47,4x41 mm;;;szt.;5;;117,80;5; 117,80;; 0,00
W80124345;Naro¿nik 41,9x41 mm;;;szt.;11;;255,42;11; 255,42;; 0,00
